osm_id,attraction_name,category,raw_osm_tag,lat,lon,distance_km,query_type,reference_point,reference_state
node/1456303681,Aquaria KLCC,Other (aquarium; attraction),tourism=aquarium; attraction,3.1533436,101.7130586,10.69,hospital_radius,Alhaya Fertility Centre,Wilayah Persekutuan
node/1524273574,Muzium Petaling Jaya,Museum,tourism=museum,3.1053254,101.6503601,8.13,hospital_radius,Alhaya Fertility Centre,Wilayah Persekutuan
node/1524820466,Bukit Gasing - Puchong view,Viewpoint / Scenic Spot,tourism=viewpoint,3.0914515,101.6580206,9.89,hospital_radius,Alhaya Fertility Centre,Wilayah Persekutuan
node/1686530074,Ramayana Cave,Cave,natural=cave_entrance,3.2388785,101.6816906,10.3,hospital_radius,Alhaya Fertility Centre,Wilayah Persekutuan
node/1686538694,Dark Cave,Cave,natural=cave_entrance,3.2380616,101.684027,10.41,hospital_radius,Alhaya Fertility Centre,Wilayah Persekutuan
node/1696988220,Traditional House,Museum,tourism=museum,3.2358985,101.6284947,7.29,hospital_radius,Alhaya Fertility Centre,Wilayah Persekutuan
node/1738872865,Kolam Air Panas Selayang,General Attraction,tourism=attraction,3.2586707,101.6463232,10.21,hospital_radius,Alhaya Fertility Centre,Wilayah Persekutuan
node/1769203931,Isi Rimba,Camp Site,tourism=camp_site,3.2262323,101.7812005,19.08,hospital_radius,Alhaya Fertility Centre,Wilayah Persekutuan
node/1819670408,NN Gallery Sdn Bhd,Public Art,tourism=artwork,3.1509823,101.7483333,14.59,hospital_radius,Alhaya Fertility Centre,Wilayah Persekutuan
node/1919710738,Upside Down House,General Attraction,tourism=attraction,3.1514614,101.7027596,9.61,hospital_radius,Alhaya Fertility Centre,Wilayah Persekutuan
node/1919715404,Galeri Interaktif NRE,Museum,tourism=museum,3.1500612,101.7024185,9.61,hospital_radius,Alhaya Fertility Centre,Wilayah Persekutuan
node/2024347320,Laman Comanwel,Monument,historic=monument,3.1014432,101.5970437,8.1,hospital_radius,Alhaya Fertility Centre,Wilayah Persekutuan
node/2111684207,Bukit Tabur East,Mountain / Peak,natural=peak,3.2322805,101.7569321,16.81,hospital_radius,Alhaya Fertility Centre,Wilayah Persekutuan
node/2121121084,Bukit Kiara,Mountain / Peak,natural=peak,3.158462,101.6360029,2.4,hospital_radius,Alhaya Fertility Centre,Wilayah Persekutuan
node/2462612652,Bukit Kutu,Mountain / Peak,natural=peak,3.099553,101.6631358,9.38,hospital_radius,Alhaya Fertility Centre,Wilayah Persekutuan
node/2495120940,Bukit Tabur West,Mountain / Peak,natural=peak,3.2369716,101.7387991,15.24,hospital_radius,Alhaya Fertility Centre,Wilayah Persekutuan
node/2517533554,Petronas Towers Viewpoint #2,Viewpoint / Scenic Spot,tourism=viewpoint,3.1561762,101.7137639,10.71,hospital_radius,Alhaya Fertility Centre,Wilayah Persekutuan
node/2911346279,Lord Murugan Statue,Monument,historic=monument,3.2374772,101.6839815,10.36,hospital_radius,Alhaya Fertility Centre,Wilayah Persekutuan
node/2921494089,Bukit Tadun,Mountain / Peak,natural=peak,3.2535621,101.5453876,12.24,hospital_radius,Alhaya Fertility Centre,Wilayah Persekutuan
