osm_id,attraction_name,category,raw_osm_tag,lat,lon,distance_km,query_type,reference_point,reference_state
node/1531670855,Lok Kawi Wildlife Park,Zoo / Wildlife Park,tourism=zoo,5.8494147,116.0692529,13.96,rural_region,Sabah_interior,Sabah
node/1718983790,Gold Minaret Sculpture,Public Art,tourism=artwork,5.9520355,116.0551233,3.18,rural_region,Sabah_interior,Sabah
node/2093140403,UMS Aquarium & Marine Museum,Aquarium,tourism=aquarium,6.0397962,116.1128811,8.49,rural_region,Sabah_interior,Sabah
node/2103857036,Monsopiad Culture Village,General Attraction,tourism=attraction,5.888988,116.07945,9.58,rural_region,Sabah_interior,Sabah
node/2105153637,Sabah State Museum & Heritage Village,Museum,tourism=museum,5.960551,116.0714545,1.6,rural_region,Sabah_interior,Sabah
node/2105153639,Upside Down House,General Attraction,tourism=attraction,6.144436,116.2541342,27.55,rural_region,Sabah_interior,Sabah
node/2110087376,Double Six Monument,Memorial,historic=memorial,5.9622337,116.0617713,1.83,rural_region,Sabah_interior,Sabah
node/2449610197,La Salle Wall of Fame,Memorial,historic=memorial,5.9536211,116.0520357,3.27,rural_region,Sabah_interior,Sabah
node/2453773636,Statue of St. John Baptist de La Salle,Monument,historic=monument,5.9530646,116.052539,3.27,rural_region,Sabah_interior,Sabah
node/2453808158,Stone boardwalk sunset viewpoint,Viewpoint / Scenic Spot,tourism=viewpoint,5.9602108,116.0520451,2.78,rural_region,Sabah_interior,Sabah
node/2789848838,Pantai UMS,Beach,natural=beach,6.0411477,116.1120265,8.57,rural_region,Sabah_interior,Sabah
node/2789862468,Universiti Malaysia Sabah Peak,Mountain / Peak,natural=peak,6.0425549,116.1194723,9.15,rural_region,Sabah_interior,Sabah
node/4210148013,Pusat Orkid,General Attraction,tourism=attraction,5.9616621,116.0717831,1.47,rural_region,Sabah_interior,Sabah
node/4210148112,Signal Hill Observatory Tower,Viewpoint / Scenic Spot,tourism=viewpoint,5.9856382,116.0791035,1.41,rural_region,Sabah_interior,Sabah
node/4225381289,SK,General Attraction,tourism=attraction,5.9691729,116.0890179,1.95,rural_region,Sabah_interior,Sabah
node/4638362840,Tugu Peringatan Perang Borneo Utara,Memorial,historic=memorial,5.9817102,116.0746698,0.8,rural_region,Sabah_interior,Sabah
node/4805082721,Fruits Market,General Attraction,tourism=attraction,6.0280412,116.4626065,43.55,rural_region,Sabah_interior,Sabah
node/5036890422,Point E,Viewpoint / Scenic Spot,tourism=viewpoint,6.0070347,116.0049659,8.27,rural_region,Sabah_interior,Sabah
node/5038194123,Bukit Kusai Trailhead,Viewpoint / Scenic Spot,tourism=viewpoint,6.1468835,116.2633744,28.49,rural_region,Sabah_interior,Sabah
node/5039133721,Heritage Village Phase II,General Attraction,tourism=attraction,5.9623154,116.0741848,1.41,rural_region,Sabah_interior,Sabah
