No,Hospital_Name,State_Code,State,Membership_Tier,Hospital_Type,Accreditation,Languages_Spoken,International_Patient_Services,Website_URL,specialist,Latitude,Longitude
1,Alhaya Fertility Centre,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://alhayafertility.com/,,3.1711205,101.618454
2,Alpha IVF & Women's Specialists Centre,SEL,Selangor,Elite Membership,Specialized Fertility & Women's Hospital,RTAC Accredited,English; Mandarin; Malay,International patient services; Dedicated incubators for each patient,https://www.alphafertilitycentre.com/,Obstetrics and Gynaecology,3.1551657,101.5945975
2,Alpha IVF & Women's Specialists Centre,SEL,Selangor,Elite Membership,Specialized Fertility & Women's Hospital,RTAC Accredited,English; Mandarin; Malay,International patient services; Dedicated incubators for each patient,https://www.alphafertilitycentre.com/,Fertility,3.1551657,101.5945975
3,ALPS Medical Centre,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://alpsmedical.com/,,3.1556066,101.7226909
4,ALTY Orthopaedic Hospital,WP,Wilayah Persekutuan,Ordinary Member,Specialist Hospital,MSQH Accredited,English; Malay; Mandarin,Advanced orthopedic imaging; Physiotherapy,https://www.altyortho.com,Sports Medicine,3.15993,101.7229048
4,ALTY Orthopaedic Hospital,WP,Wilayah Persekutuan,Ordinary Member,Specialist Hospital,MSQH Accredited,English; Malay; Mandarin,Advanced orthopedic imaging; Physiotherapy,https://www.altyortho.com,Trauma,3.15993,101.7229048
4,ALTY Orthopaedic Hospital,WP,Wilayah Persekutuan,Ordinary Member,Specialist Hospital,MSQH Accredited,English; Malay; Mandarin,Advanced orthopedic imaging; Physiotherapy,https://www.altyortho.com,Screening,3.15993,101.7229048
4,ALTY Orthopaedic Hospital,WP,Wilayah Persekutuan,Ordinary Member,Specialist Hospital,MSQH Accredited,English; Malay; Mandarin,Advanced orthopedic imaging; Physiotherapy,https://www.altyortho.com,Imaging,3.15993,101.7229048
4,ALTY Orthopaedic Hospital,WP,Wilayah Persekutuan,Ordinary Member,Specialist Hospital,MSQH Accredited,English; Malay; Mandarin,Advanced orthopedic imaging; Physiotherapy,https://www.altyortho.com,Joint Orthopaedic Surgery,3.15993,101.7229048
5,Ampang Puteri Specialist Hospital,SEL,Selangor,Elite Membership,,,,,https://kpjhealth.com.my/ampang/,Orthopaedics,3.1601192,101.7516737
5,Ampang Puteri Specialist Hospital,SEL,Selangor,Elite Membership,,,,,https://kpjhealth.com.my/ampang/,Women's Health,3.1601192,101.7516737
5,Ampang Puteri Specialist Hospital,SEL,Selangor,Elite Membership,,,,,https://kpjhealth.com.my/ampang/,General Surgery,3.1601192,101.7516737
5,Ampang Puteri Specialist Hospital,SEL,Selangor,Elite Membership,,,,,https://kpjhealth.com.my/ampang/,Internal Medicine,3.1601192,101.7516737
5,Ampang Puteri Specialist Hospital,SEL,Selangor,Elite Membership,,,,,https://kpjhealth.com.my/ampang/,Paediatrics,3.1601192,101.7516737
6,Ara Damansara Medical Centre,SEL,Selangor,Ordinary Member,,,,,https://aradamansaramedicalcentre.com,,3.1149231,101.5651364
7,Artius Dental Specialist Center,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://artiusdental.com,,3.1555436,101.722754
8,Aurelius Hospital Negeri Sembilan,NS,Negeri Sembilan,Ordinary Member,,,,,https://www.aureliushealth.com/negerisembilan,Accident & Emergency,2.8118159,101.7731314
8,Aurelius Hospital Negeri Sembilan,NS,Negeri Sembilan,Ordinary Member,,,,,https://www.aureliushealth.com/negerisembilan,Anaesthesiology,2.8118159,101.7731314
8,Aurelius Hospital Negeri Sembilan,NS,Negeri Sembilan,Ordinary Member,,,,,https://www.aureliushealth.com/negerisembilan,Aviation Medicine,2.8118159,101.7731314
8,Aurelius Hospital Negeri Sembilan,NS,Negeri Sembilan,Ordinary Member,,,,,https://www.aureliushealth.com/negerisembilan,Breast & Endocrine Surgery,2.8118159,101.7731314
8,Aurelius Hospital Negeri Sembilan,NS,Negeri Sembilan,Ordinary Member,,,,,https://www.aureliushealth.com/negerisembilan,Cardiology and Internal Medicine,2.8118159,101.7731314
9,Avisena Special Hospital,SEL,Selangor,Ordinary Member,,,,,https://shahalam.avisena.com.my/,Internal Medicine,3.0717722,101.52412
9,Avisena Special Hospital,SEL,Selangor,Ordinary Member,,,,,https://shahalam.avisena.com.my/,Surgical,3.0717722,101.52412
9,Avisena Special Hospital,SEL,Selangor,Ordinary Member,,,,,https://shahalam.avisena.com.my/,General Surgery,3.0717722,101.52412
9,Avisena Special Hospital,SEL,Selangor,Ordinary Member,,,,,https://shahalam.avisena.com.my/,Orthopaedics,3.0717722,101.52412
9,Avisena Special Hospital,SEL,Selangor,Ordinary Member,,,,,https://shahalam.avisena.com.my/,ENT (Ear Nose Throat),3.0717722,101.52412
10,Avisena Women's and Children's Specialist Hospital,SEL,Selangor,Ordinary Member,,,,,https://womenandchildren.avisena.com.my/,Obstetrics and Gynaecology (O&G),3.0716709,101.5212478
10,Avisena Women's and Children's Specialist Hospital,SEL,Selangor,Ordinary Member,,,,,https://womenandchildren.avisena.com.my/,Surgical,3.0716709,101.5212478
10,Avisena Women's and Children's Specialist Hospital,SEL,Selangor,Ordinary Member,,,,,https://womenandchildren.avisena.com.my/,Paediatric,3.0716709,101.5212478
10,Avisena Women's and Children's Specialist Hospital,SEL,Selangor,Ordinary Member,,,,,https://womenandchildren.avisena.com.my/,Paediatric ENT,3.0716709,101.5212478
10,Avisena Women's and Children's Specialist Hospital,SEL,Selangor,Ordinary Member,,,,,https://womenandchildren.avisena.com.my/,Paediatric Ortho,3.0716709,101.5212478
11,Bagan Specialist Centre,PN,Penang,Ordinary Member,,,,,https://www.bagan.com.my,,5.4103953,100.3858854
12,Beacon Hospital,SEL,Selangor,Ordinary Member,Specialist Centre,,,,https://www.beaconhospital.com.my/,Oncology,3.0914291,101.6378299
12,Beacon Hospital,SEL,Selangor,Ordinary Member,Specialist Centre,,,,https://www.beaconhospital.com.my/,Anaesthesiology & Critical Care,3.0914291,101.6378299
12,Beacon Hospital,SEL,Selangor,Ordinary Member,Specialist Centre,,,,https://www.beaconhospital.com.my/,Arthroplasty Surgery,3.0914291,101.6378299
12,Beacon Hospital,SEL,Selangor,Ordinary Member,Specialist Centre,,,,https://www.beaconhospital.com.my/,Breast Surgery,3.0914291,101.6378299
12,Beacon Hospital,SEL,Selangor,Ordinary Member,Specialist Centre,,,,https://www.beaconhospital.com.my/,Cardiology,3.0914291,101.6378299
13,Borneo Medical Centre Miri,SW,Sarawak,Ordinary Member,,,,,https://www.bmcmiri.com/,,4.3806373,113.9848563
14,Cardiac Vascular Sentral Kuala Lumpur,WP,Wilayah Persekutuan,Elite Membership,Specialized Cardiac & Vascular Hospital,MSQH Accredited,English; Malay,Integrated cardiac services,https://www.cvskl.com/,Cardiology,3.1335122,101.6848045
14,Cardiac Vascular Sentral Kuala Lumpur,WP,Wilayah Persekutuan,Elite Membership,Specialized Cardiac & Vascular Hospital,MSQH Accredited,English; Malay,Integrated cardiac services,https://www.cvskl.com/,Cardiac Surgery,3.1335122,101.6848045
14,Cardiac Vascular Sentral Kuala Lumpur,WP,Wilayah Persekutuan,Elite Membership,Specialized Cardiac & Vascular Hospital,MSQH Accredited,English; Malay,Integrated cardiac services,https://www.cvskl.com/,Vascular Surgery,3.1335122,101.6848045
14,Cardiac Vascular Sentral Kuala Lumpur,WP,Wilayah Persekutuan,Elite Membership,Specialized Cardiac & Vascular Hospital,MSQH Accredited,English; Malay,Integrated cardiac services,https://www.cvskl.com/,Interventional Cardiology,3.1335122,101.6848045
14,Cardiac Vascular Sentral Kuala Lumpur,WP,Wilayah Persekutuan,Elite Membership,Specialized Cardiac & Vascular Hospital,MSQH Accredited,English; Malay,Integrated cardiac services,https://www.cvskl.com/,Arrhythmia,3.1335122,101.6848045
15,Cengild G.I. Medical Centre,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://cengild.com/,Gastroenterology and Hepatology,3.10968,101.6653807
15,Cengild G.I. Medical Centre,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://cengild.com/,Upper G.I.,3.10968,101.6653807
15,Cengild G.I. Medical Centre,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://cengild.com/,Bariatric,3.10968,101.6653807
15,Cengild G.I. Medical Centre,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://cengild.com/,Colorectal Surgery,3.10968,101.6653807
15,Cengild G.I. Medical Centre,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://cengild.com/,General Surgery,3.10968,101.6653807
16,Columbia Asia Hospital - Bukit Jalil,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://www.columbiaasia.com/malaysia/hospitals/bukit-jalil/,Anesthesiology,3.0582872,101.6872745
16,Columbia Asia Hospital - Bukit Jalil,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://www.columbiaasia.com/malaysia/hospitals/bukit-jalil/,Cardiology,3.0582872,101.6872745
16,Columbia Asia Hospital - Bukit Jalil,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://www.columbiaasia.com/malaysia/hospitals/bukit-jalil/,Dermatology,3.0582872,101.6872745
16,Columbia Asia Hospital - Bukit Jalil,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://www.columbiaasia.com/malaysia/hospitals/bukit-jalil/,"Ear, Nose & Throat (ENT)",3.0582872,101.6872745
16,Columbia Asia Hospital - Bukit Jalil,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://www.columbiaasia.com/malaysia/hospitals/bukit-jalil/,General Surgery,3.0582872,101.6872745
17,Columbia Asia Hospital - Iskandar Puteri,JH,Johor,Ordinary Member,,,,,https://www.columbiaasia.com/malaysia/ms/hospitals/iskandar-puteri/,,1.4785875,103.6372869
18,Columbia Asia Hospital - Petaling Jaya,SEL,Selangor,Ordinary Member,,,,,https://www.columbiaasia.com/malaysia/hospitals/petaling-jaya/,,3.1183565,101.6376395
19,Damansara Specialist Hospital,SEL,Selangor,Elite Membership,,,,,https://kpjhealth.com.my/damansara/,,3.137556,101.627535
20,Damansara Specialist Hospital 2,WP,Wilayah Persekutuan,Elite Membership,,,,,https://www.kpjhealth.com.my/damansara2/,,3.1714091,101.6186666
21,GenPrime Ever-Link Fertility Centre,SEL,Selangor,Ordinary Member,,,,,https://everlinkivf.com.my/,In Vitro Fertilization (IVF),3.0857714,101.5871314
21,GenPrime Ever-Link Fertility Centre,SEL,Selangor,Ordinary Member,,,,,https://everlinkivf.com.my/,Intrauterine Insemination (IUI),3.0857714,101.5871314
21,GenPrime Ever-Link Fertility Centre,SEL,Selangor,Ordinary Member,,,,,https://everlinkivf.com.my/,Egg Freezing,3.0857714,101.5871314
21,GenPrime Ever-Link Fertility Centre,SEL,Selangor,Ordinary Member,,,,,https://everlinkivf.com.my/,Sperm Freezing,3.0857714,101.5871314
21,GenPrime Ever-Link Fertility Centre,SEL,Selangor,Ordinary Member,,,,,https://everlinkivf.com.my/,Embryo Freezing,3.0857714,101.5871314
22,Gleneagles Hospital Johor,JH,Johor,Ordinary Member,,,,,https://gleneagles.com.my/johor,Anaesthesiology,1.4265967,103.6355912
22,Gleneagles Hospital Johor,JH,Johor,Ordinary Member,,,,,https://gleneagles.com.my/johor,Cardiology,1.4265967,103.6355912
22,Gleneagles Hospital Johor,JH,Johor,Ordinary Member,,,,,https://gleneagles.com.my/johor,Cardiothoracic Surgery,1.4265967,103.6355912
22,Gleneagles Hospital Johor,JH,Johor,Ordinary Member,,,,,https://gleneagles.com.my/johor,Colorectal Surgery,1.4265967,103.6355912
22,Gleneagles Hospital Johor,JH,Johor,Ordinary Member,,,,,https://gleneagles.com.my/johor,Dermatology,1.4265967,103.6355912
23,Gleneagles Hospital Kota Kinabalu,SB,Sabah,Ordinary Member,,,,,https://gleneagles.com.my/kota-kinabalu,,5.968193,116.064531
24,Gleneagles Hospital Kuala Lumpur,WP,Wilayah Persekutuan,Elite Membership,Private Hospital,JCI Accredited,English; Mandarin; Malay,Visa assistance; Airport Transfer Service; Accommodation; Language interpretation,https://gleneagles.com.my/kuala-lumpur,Gastroenterology,3.1612303,101.7392385
24,Gleneagles Hospital Kuala Lumpur,WP,Wilayah Persekutuan,Elite Membership,Private Hospital,JCI Accredited,English; Mandarin; Malay,Visa assistance; Airport Transfer Service; Accommodation; Language interpretation,https://gleneagles.com.my/kuala-lumpur,Bariatric (Weight Loss Surgery),3.1612303,101.7392385
24,Gleneagles Hospital Kuala Lumpur,WP,Wilayah Persekutuan,Elite Membership,Private Hospital,JCI Accredited,English; Mandarin; Malay,Visa assistance; Airport Transfer Service; Accommodation; Language interpretation,https://gleneagles.com.my/kuala-lumpur,ENT (Ear Nose Throat),3.1612303,101.7392385
24,Gleneagles Hospital Kuala Lumpur,WP,Wilayah Persekutuan,Elite Membership,Private Hospital,JCI Accredited,English; Mandarin; Malay,Visa assistance; Airport Transfer Service; Accommodation; Language interpretation,https://gleneagles.com.my/kuala-lumpur,Neurology & Neurosurgery,3.1612303,101.7392385
24,Gleneagles Hospital Kuala Lumpur,WP,Wilayah Persekutuan,Elite Membership,Private Hospital,JCI Accredited,English; Mandarin; Malay,Visa assistance; Airport Transfer Service; Accommodation; Language interpretation,https://gleneagles.com.my/kuala-lumpur,Oncology,3.1612303,101.7392385
25,Gleneagles Hospital Penang,PN,Penang,Elite Membership,,,,,https://gleneagles.com.my/penang,Anaestheosiology,5.4267879,100.3199707
25,Gleneagles Hospital Penang,PN,Penang,Elite Membership,,,,,https://gleneagles.com.my/penang,Bariatric Surgery,5.4267879,100.3199707
25,Gleneagles Hospital Penang,PN,Penang,Elite Membership,,,,,https://gleneagles.com.my/penang,Breast Surgery,5.4267879,100.3199707
25,Gleneagles Hospital Penang,PN,Penang,Elite Membership,,,,,https://gleneagles.com.my/penang,Cardiology,5.4267879,100.3199707
25,Gleneagles Hospital Penang,PN,Penang,Elite Membership,,,,,https://gleneagles.com.my/penang,Cardiothoracic Surgery,5.4267879,100.3199707
26,Hospital Picaso,SEL,Selangor,Ordinary Member,,,,,https://www.hospitalpicaso.com/en/,Breast Surgery,3.1130792,101.6335579
26,Hospital Picaso,SEL,Selangor,Ordinary Member,,,,,https://www.hospitalpicaso.com/en/,Cardio-Oncology (Specialised Care for Cancer Patients),3.1130792,101.6335579
26,Hospital Picaso,SEL,Selangor,Ordinary Member,,,,,https://www.hospitalpicaso.com/en/,Colorectal Surgery,3.1130792,101.6335579
26,Hospital Picaso,SEL,Selangor,Ordinary Member,,,,,https://www.hospitalpicaso.com/en/,Endocrinology,3.1130792,101.6335579
26,Hospital Picaso,SEL,Selangor,Ordinary Member,,,,,https://www.hospitalpicaso.com/en/,Gastroenterology,3.1130792,101.6335579
27,Hospital Pusrawi,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://pusrawi.com.my/,Oncology,3.1710388,101.7100503
27,Hospital Pusrawi,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://pusrawi.com.my/,Cardiology,3.1710388,101.7100503
27,Hospital Pusrawi,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://pusrawi.com.my/,Orthopaedics,3.1710388,101.7100503
27,Hospital Pusrawi,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://pusrawi.com.my/,Obstetrics & Gynaecology,3.1710388,101.7100503
27,Hospital Pusrawi,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://pusrawi.com.my/,Paediatrics,3.1710388,101.7100503
28,IHT Rehabilitation Johor,JH,Johor,Ordinary Member,,,,,https://www.ihtrehab.com/,,1.46352,103.5947039
29,IMM Carehub,WP,Wilayah Persekutuan,Associate Member,,,,,https://www.immcarehub.com/,,3.1666937,101.6518439
30,IMU Chinese Medicine Centre,WP,Wilayah Persekutuan,Associate Member,,,,,https://imuchinesemedicine.com.my/,,3.0597471,101.6871525
31,IMU Chiropractic Centre,WP,Wilayah Persekutuan,Associate Member,,,,,https://imuchiropractic.com.my/,,3.0597471,101.6871525
32,IMU Oral Health Centre,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://imuoralhealth.com.my/,,3.0596259,101.6866904
33,Institut Jantung Negara (IJN),WP,Wilayah Persekutuan,Elite Membership,,,,,https://www.ijn.com.my/,,3.1700525,101.7089643
34,International Specialist Eye Centre (ISEC),WP,Wilayah Persekutuan,Ordinary Member,,,,,https://www.isec.my,,3.117692,101.6766246
35,Island Hospital,PN,Penang,Elite Membership,,,,,https://islandhospital.com/,Cardiology & Interventional Cardiology,5.4220563,100.3137875
35,Island Hospital,PN,Penang,Elite Membership,,,,,https://islandhospital.com/,Cardiothoracic Surgery,5.4220563,100.3137875
35,Island Hospital,PN,Penang,Elite Membership,,,,,https://islandhospital.com/,Dental,5.4220563,100.3137875
35,Island Hospital,PN,Penang,Elite Membership,,,,,https://islandhospital.com/,Dermatology,5.4220563,100.3137875
35,Island Hospital,PN,Penang,Elite Membership,,,,,https://islandhospital.com/,Orthopaedics & Joint Replacement Surgery,5.4220563,100.3137875
36,Jesselton Medical Centre,SB,Sabah,Ordinary Member,,,,,https://jmc.my,Anaesthesiology,5.9755282,116.1126106
36,Jesselton Medical Centre,SB,Sabah,Ordinary Member,,,,,https://jmc.my,Cardiology / Cardiovascular (Heart & Vascular),5.9755282,116.1126106
36,Jesselton Medical Centre,SB,Sabah,Ordinary Member,,,,,https://jmc.my,Emergency Services,5.9755282,116.1126106
36,Jesselton Medical Centre,SB,Sabah,Ordinary Member,,,,,https://jmc.my,General Surgery,5.9755282,116.1126106
36,Jesselton Medical Centre,SB,Sabah,Ordinary Member,,,,,https://jmc.my,Geriatrics,5.9755282,116.1126106
37,Johor Specialist Hospital,JH,Johor,Elite Membership,,,,,https://kpjhealth.com.my/johor/,Heart & Lung Centre,1.4759208,103.7415824
37,Johor Specialist Hospital,JH,Johor,Elite Membership,,,,,https://kpjhealth.com.my/johor/,Cancer Centre,1.4759208,103.7415824
37,Johor Specialist Hospital,JH,Johor,Elite Membership,,,,,https://kpjhealth.com.my/johor/,Fertility Centre,1.4759208,103.7415824
